Path,Checkpoint Name,Link
checkpoints,v1-5-pruned-emaonly.safetensors,https://huggingface.co/stable-diffusion-v1-5/stable-diffusion-v1-5/resolve/main/v1-5-pruned-emaonly.safetensors
diffusion_models,flux-2-klein-base-4b-fp8.safetensors,https://huggingface.co/black-forest-labs/FLUX.2-klein-base-4b-fp8/resolve/main/flux-2-klein-base-4b-fp8.safetensors
diffusion_models,z-image-turbo-fp8-e4m3fn.safetensors,https://huggingface.co/T5B/Z-Image-Turbo-FP8/resolve/main/z-image-turbo-fp8-e4m3fn.safetensors
checkpoints,ltx-2.3-22b-dev-fp8.safetensors,https://huggingface.co/Lightricks/LTX-2.3-fp8/resolve/main/ltx-2.3-22b-dev-fp8.safetensors
loras,ltx-2.3-22b-distilled-lora-384.safetensors,https://huggingface.co/Lightricks/LTX-2.3/resolve/main/ltx-2.3-22b-distilled-lora-384.safetensors
latent_upscale_models,ltx-2.3-spatial-upscaler-x2-1.1.safetensors,https://huggingface.co/Lightricks/LTX-2.3/resolve/main/ltx-2.3-spatial-upscaler-x2-1.1.safetensors
text_encoders,gemma_3_12B_it_fp4_mixed.safetensors,https://huggingface.co/Comfy-Org/ltx-2/resolve/main/split_files/text_encoders/gemma_3_12B_it_fp4_mixed.safetensors
vae,flux2-vae.safetensors,https://huggingface.co/Comfy-Org/flux2-dev/resolve/main/split_files/vae/flux2-vae.safetensors
vae,full_encoder_small_decoder.safetensors,https://huggingface.co/Comfy-Org/flux2-dev/resolve/main/split_files/vae/flux2-vae.safetensors
vae,ae.safetensors,https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/text_encoders/qwen_3_4b.safetensors
text_encoders,qwen_3_4b.safetensors,https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/text_encoders/qwen_3_4b.safetensors
checkpoints,dreamshaper_8.safetensors,https://civitai.com/api/download/models/128713?type=Model&format=SafeTensor&size=pruned&fp=fp16
upscale_models,4x_NMKD-Superscale-SP_178000_G.pth,https://huggingface.co/gemasai/4x_NMKD-Superscale-SP_178000_G/resolve/main/4x_NMKD-Superscale-SP_178000_G.pth
upscale_models,OmniSR_X2_DIV2K.safetensors,https://huggingface.co/Acly/Omni-SR/resolve/main/OmniSR_X2_DIV2K.safetensors
upscale_models,OmniSR_X4_DIV2K.safetensors,https://huggingface.co/Acly/Omni-SR/resolve/main/OmniSR_X4_DIV2K.safetensors